Hematite,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_hematite.tab
Mg-Olivine,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_mg_olivine.tab
Fe-Olivine,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_fe_olivine.tab
Plagioclase,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_plagioclase.tab
Low-Ca Pyroxene,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_lcp.tab
High-Ca Pyroxene,Iron oxides and primary silicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_hcp.tab
H2O Ice,Ices,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_h2o_ice.tab
CO2 Ice,Ices,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_co2_ice.tab
Monohydrated sulfate,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_mono_hyd_sulf.tab
Alunite,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_alunite.tab
Hydroxylated Fe-sulfate,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_hydrox_fe_sulf.tab
Jarosite,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_jarosite.tab
Polyhydrated sulfate,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_poly_hyd_sulf.tab
Gypsum,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_gypsum.tab
Bassanite,Sulfates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_bassanite.tab
Kaolinite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_kaolinite.tab
Al-Smectite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_al_smectite.tab
Margarite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_margarite.tab
Illite/Muscovite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_illite_muscovite.tab
Fe-Smectite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_fe_smectite.tab
Mg-Smectite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_mg_smectite.tab
Talc,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_talc.tab
Serpentine,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_serpentine.tab
Chlorite,Phyllosilicates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_chlorite.tab
Mg-Carbonate,Carbonates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_mg_carbonate.tab
Ca/Fe-Carbonate,Carbonates,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_fe_ca_carbonate.tab
Prehnite,Other hydrated silicates and halides,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_prehnite.tab
Hydrated Silica,Other hydrated silicates and halides,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_hydrated_silica.tab
Epidote,Other hydrated silicates and halides,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_epidote.tab
Analcime,Other hydrated silicates and halides,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_analcime.tab
Chloride,Other hydrated silicates and halides,https://pds-geosciences.wustl.edu/mro/mro-m-crism-4-typespec-v1/mrocr_8001/data/crism_typespec_chloride.tab
